ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment,teacher_fte,prop_frl,re_amind,re_asian,re_black,re_hisp,re_missing,re_multi,re_nathi,re_white,prop_gen_female,prop_gen_miss
410192001236,OR,45.479317,-122.855952,38900,2016-2017,1,41067,Washington County,41,OREGON,Mountain View Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001183,Open,Regular School,No,No,No,4315,47.38,0.11517960602549247,0.0027809965237543454,0.030127462340672075,0.016222479721900347,0.14414831981460025,0.6,0.025028968713789106,0.004634994206257242,0.17705677867902664,0.19652375434530706,0.6
410192001236,OR,45.479317,-122.855952,38900,2017-2018,1,41067,Washington County,41,OREGON,Mountain View Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001183,Open,Regular School,No,No,No,4190,47.10,0.11408114558472554,0.002386634844868735,0.03054892601431981,0.012410501193317422,0.14749403341288783,0.6,0.028639618138424822,0.002863961813842482,0.1756563245823389,0.19952267303102625,0.6
410192001237,OR,45.468878,-122.818515,38900,2014-2015,1,41067,Washington County,41,OREGON,Highland Park Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001184,Open,Regular School,No,No,N,882,36.12,0.31519274376417233,0.0022675736961451248,0.10317460317460317,0.027210884353741496,0.19727891156462585,0,0.09070294784580499,0.011337868480725623,0.5680272108843537,0.4875283446712018,NA
410192001237,OR,45.468878,-122.818515,38900,2015-2016,1,41067,Washington County,41,OREGON,Highland Park Middle School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001184,Open,Regular School,No,No,No,916,42.17,0.30131004366812225,0,0.09388646288209607,0.02947598253275109,0.17903930131004367,0,0.09606986899563319,0.012008733624454149,0.5895196506550219,0.49344978165938863,NA
410192001237,OR,45.468878000000004,-122.818515,38900,2016-2017,1,41067,Washington County,41,OREGON,Highland Park Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001184,Open,Regular School,No,No,No,4485,42.00,0.06376811594202898,8.918617614269788e-4,0.03656633221850613,0.009810479375696768,0.07714604236343367,0.6,0.03745819397993311,0.005351170568561873,0.23277591973244147,0.19977703455964327,0.6
410192001237,OR,45.468878000000004,-122.818515,38900,2017-2018,1,41067,Washington County,41,OREGON,Highland Park Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001184,Open,Regular School,No,No,No,4625,41.22,0.062486486486486484,0.0012972972972972972,0.03545945945945946,0.008648648648648649,0.08043243243243244,0.6,0.03589189189189189,0.005189189189189189,0.23308108108108108,0.1945945945945946,0.6
410192001238,OR,45.463156,-122.782035,38900,2014-2015,1,41067,Washington County,41,OREGON,Whitford Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001185,Open,Regular School,No,No,N,681,35.76,0.5844346549192364,0.007342143906020558,0.05433186490455213,0.01908957415565345,0.4199706314243759,0,0.0513950073421439,0.010279001468428781,0.43759177679882527,0.4698972099853157,NA
410192001238,OR,45.463156,-122.782035,38900,2015-2016,1,41067,Washington County,41,OREGON,Whitford Middle School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001185,Open,Regular School,No,No,No,710,40.33,0.49859154929577465,0.005633802816901409,0.056338028169014086,0.015492957746478873,0.4126760563380282,0,0.05070422535211268,0.01267605633802817,0.44647887323943664,0.46338028169014084,NA
410192001238,OR,45.463156000000005,-122.78203500000001,38900,2016-2017,1,41067,Washington County,41,OREGON,Whitford Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001185,Open,Regular School,No,No,No,3725,42.57,0.11221476510067115,5.369127516778523e-4,0.02308724832214765,0.006442953020134228,0.16751677852348992,0.6,0.023624161073825502,0.005906040268456376,0.17288590604026846,0.19436241610738256,0.6
410192001238,OR,45.463156000000005,-122.78203500000001,38900,2017-2018,1,41067,Washington County,41,OREGON,Whitford Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001185,Open,Regular School,No,No,No,3540,40.08,0.11412429378531073,0.0011299435028248588,0.020338983050847456,0.007344632768361582,0.17627118644067796,0.6,0.023728813559322035,0.004519774011299435,0.16666666666666666,0.19830508474576272,0.6
