county,business_name,type_of_care,licensure,quality_rating,area_code,phone,city,lattitude,longitude
clackamas,Sunny Skies Early Childhood Community LLC,Family Child Care,Licensed - Certified Family,NA,971,291-6080,West Linn,45.351215999999994,-122.664635
clackamas,(ECC) Oona's PlayCare,(CCC) Emergency Care,Licensed - Certified Family,NA,971,533-6908,Lake Oswego,45.407712000000004,-122.677161
clackamas,"Happy Valley Learning Center, LLC",Preschool Program,Unlicensed - Exempt,NA,503,729-1730,Happy Valley,NA,NA
clackamas,Good Day! Daycare,Family Child Care,Licensed - Registered Family,NA,503,703-6927,Wilsonville,45.323514,-122.75448
clackamas,(ECC) Stephanie's Daycare,Family Child Care,Licensed - Registered Family,NA,503,319-8619,Oregon City,45.31403099999999,-122.559503
clackamas,(ECC) Best Friends Childcare LLC,(CCC) Emergency Care,Licensed - Registered Family,NA,503,875-3887,Oregon City,45.332405,-122.60412900000001
clackamas,(ECC) Darci's Daycare,(CCC) Emergency Care,Licensed - Registered Family,NA,503,319-3784,Happy Valley,45.443313,-122.557042
clackamas,Sonshine Express Preschool and Kindergarten,Child Care Center,Licensed - Certified Center,NA,503,635-3761,Lake Oswego,45.433723,-122.71526200000001
clackamas,(ECC) Kids Cove Nursery Daycare & Preschool,Child Care Center,Licensed - Certified Center,NA,503,682-9199,Wilsonville,45.306436,-122.764491
clackamas,(ECC) Tiny Friends - Sarah Grace Parry,(CCC) Emergency Care,Licensed - Registered Family,NA,503,730-8045,Sandy,45.394963,-122.264846
clackamas,Moira's Childcare,Family Child Care,Unlicensed - Exempt,NA,503,658-8283,Damascus,45.430412000000004,-122.430428
clackamas,(ECC) Jamie's Corner Child Care,Family Child Care,Licensed - Registered Family,NA,971,221-7638,Gladstone,45.401433999999995,-122.598086
clackamas,Neva's Daycare,Family Child Care,Licensed - Registered Family,NA,503,654-5936,Milwaukie,45.421145,-122.58769600000001
clackamas,Oswego Playschool,Preschool Program,Unlicensed - Recorded,NA,503,636-1345,Lake Oswego,45.421960999999996,-122.67287299999998
clackamas,(ECC) A to Zen,(CCC) Emergency Care,Licensed - Certified Family,NA,518,506-0539,Gladstone,45.396589,-122.578124
clackamas,(ECC) Stafford Academy,(CCC) Emergency Care,Licensed - Certified Center,NA,503,638-8765,Tualatin,45.36782399999999,-122.70907199999999
